,chip_id,num_cloud_pixels_in_label
157,cutk,0
158,cvzd,109407
159,ctbg,49704
160,aipn,56289
161,ctam,4118
162,ahnj,262144
163,aeze,120259
164,cuni,23375
165,cund,1703
166,aivi,262131
167,agyv,151729
168,ctfs,161310
169,ctaq,165342
170,ahdh,59794
171,cvue,135127
172,cwee,0
173,cvdz,262144
174,cwbs,157286
175,aiop,106643
176,crxj,1736
177,cstt,53656
178,aiht,262144
179,cvvj,131961
180,adwz,262144
181,ahcc,262144
182,ajnb,47132
183,csuj,77610
184,ahfi,0
185,cuyx,1266
186,cvak,77382
187,ahly,259946
188,agcc,121985
189,aevh,190967
190,agjg,12591
191,curi,83345
192,agvq,262144
193,ajjg,176501
194,cuoy,3079
195,ahoz,133742
196,ajbl,262144
197,ctmr,195347
198,afej,79374
199,cvyd,111165
200,afvk,246292
201,ctui,262144
202,agka,262144
203,ajbx,262144
204,alyp,262144
205,amog,102951
206,ajxq,30012
207,akhq,106410
208,alkj,37796
209,alme,47443
210,alkm,19687
211,amzz,145920
212,amru,243451
213,alpp,4763
214,alvn,258319
215,akwi,105545
216,alrr,36350
217,almq,258352
218,aklk,1695
219,akrn,155270
220,akit,117794
221,akby,52553
222,alwr,225271
223,alfq,0
224,amrv,25688
225,ajqt,188813
226,amtj,25740
227,akoo,75317
228,amnr,54886
229,annt,251195
230,akbj,230984
231,akbx,128917
232,ajwp,214661
233,anfh,25875
234,akzz,231643
235,ajwv,171197
236,anhv,206627
237,alss,52733
238,alte,115219
239,anlb,253513
240,anjx,195434
241,ajoi,32974
242,angf,250710
243,amjw,150152
244,akqi,249966
245,akgq,128592
246,alii,19860
247,anec,87918
248,ameo,240308
249,aktn,25410
250,akaw,1769
251,anby,230
252,akpg,118920
253,aker,63834
254,alde,40478
255,anja,261245
256,amhb,93300
257,akyn,30833
258,akkb,0
259,altq,5299
260,ankq,0
261,ajvr,33678
262,akny,35955
263,amsk,239577
264,akgz,216957
265,aluz,260075
266,aljq,262144
267,akjg,119288
268,alkn,138504
269,alms,64781
270,alcb,68143
271,ajsg,79872
272,alsx,223434
273,alun,244231
274,akzo,257784
275,akoh,174429
276,akoa,36441
277,amfr,242505
278,ajtz,51259
279,akrt,225247
280,alnp,62473
281,altz,155569
282,amze,222905
283,anjm,215401
284,ajuh,159941
285,ajyz,164749
286,arnr,188918
287,ariq,242683
288,aqbd,31643
289,aquw,224546
290,arfb,96457
291,aree,151944
292,aopg,212945
293,aoad,259368
294,aqtz,83864
295,apcw,253620
296,aqhi,5955
297,apay,14138
298,aots,71790
299,aowo,173173
300,aoif,154245
301,anuk,213606
302,aqic,132745
303,aoyv,101490
304,aodl,48569
305,armm,47901
306,ardd,253909
307,arue,153428
308,aqvl,177733
309,aohd,212704
310,aozi,261953
311,aool,62363
312,aqfi,256716
313,aobl,163171
314,aoak,8349
315,apmg,227835
316,aohk,184395
317,aoas,54507
318,anxd,197872
319,apdk,258141
320,aqlq,230131
321,aqnb,138523
322,argo,229151
323,artb,143471
324,aonr,261711
325,arel,186432
326,aqcq,249742
327,apgj,255237
328,arkq,116946
329,anpr,150201
330,apxv,71262
331,arrm,180704
332,arld,113270
333,apky,256540
334,aqek,110137
335,aofn,72895
336,arlf,147927
337,apsc,252518
338,aqki,236787
339,apha,21947
340,aolc,254768
341,apoq,207401
342,aoda,147940
343,arha,98196
344,apus,236528
345,apgw,235645
346,aruw,32114
347,anux,254323
348,apwx,238506
349,apla,48542
350,antb,193714
351,aogb,260596
352,apnf,123152
353,anqn,188567
354,aojh,169457
355,aptm,70248
356,aqoo,250280
357,arts,203175
358,anuq,40289
359,asak,146836
360,aqpi,262144
361,annx,91921
362,araw,231626
363,aqrk,129491
364,apcj,231757
365,aoqi,55888
366,apuo,256624
367,aogt,242028
368,aoog,144562
369,aqtw,101088
370,aodt,145525
371,aodi,186225
372,arml,75580
373,apne,124954
374,apmq,129328
375,apob,211202
376,aons,227955
377,aqak,6831
378,appt,68333
379,aqnp,197431
380,asai,240112
381,arjq,125812
382,aoup,180388
383,aptn,213741
384,aqxy,262144
385,arsb,150853
386,apbd,192447
387,apkk,227219
388,aoke,201891
389,aqqb,185892
390,cnik,262144
391,avnx,151937
392,coif,262144
393,asin,125736
394,auvs,228094
395,avga,169787
396,cpyr,262144
397,cmyk,0
398,cpgx,262144
399,crqn,262144
400,coib,148955
401,auox,115124
402,cqqr,262144
403,aunq,164245
404,cnvg,253229
405,cqjp,262144
406,avkj,154805
407,aujs,138469
408,asxc,178437
409,aseu,141065
410,cooi,173886
411,atnv,90601
412,atkx,104174
413,crog,262144
414,crlj,4476
415,avaw,132918
416,atom,150093
417,auje,102809
418,cofk,262144
419,cqaf,262020
420,auwl,54307
421,cosa,262144
422,atto,171566
423,covj,262144
424,cpwo,262144
425,cnhp,262144
426,crdj,262144
427,atba,137420
428,avzr,194008
429,cnbr,262144
430,crmn,188152
431,aths,176868
432,cqay,262144
433,crvp,262144
434,atks,178122
435,crmd,262144
436,aunf,127808
437,aurn,160748
438,asqa,170941
439,augv,136078
440,aurl,207177
441,asht,158274
442,cnqj,262144
443,auia,206177
444,cqzg,262144
445,cqvc,262144
446,crse,259339
447,asdl,163161
448,cpgf,262144
449,avbc,168452
450,cpjd,0
451,atsl,60521
452,crbg,262144
453,cqcg,262144
454,avez,93418
455,cnrd,102568
456,asre,134449
457,asws,217095
458,cnjv,262144
459,auxp,42494
460,aubz,148227
461,auux,253269
462,avvu,136638
463,cquq,262144
464,crfq,256433
465,auze,62225
466,cpay,0
467,crwj,262144
468,cpur,262144
469,atac,183302
470,cqiz,262144
471,cnfd,260869
472,awdr,177470
473,cpdh,262144
474,cpid,262042
475,avwu,121566
476,atrw,138317
477,cnaw,62235
478,asfp,109524
479,coig,0
480,aszi,142604
481,asvo,82708
482,cqxg,262144
483,cpwm,262144
484,atoj,166020
485,cnez,262144
486,awdb,79068
487,coqd,246374
488,aune,213377
489,awdq,90037
490,atft,131553
491,cpff,262144
492,croq,262144
493,cntg,262144
494,awem,133454
495,avza,79353
496,auxc,161605
497,atvo,94354
498,coip,262144
499,asrz,187320
500,cnwe,261749
501,awfa,168492
502,asst,123037
503,cpfj,262144
504,aupw,118904
505,aujy,105346
506,avij,177069
507,cnuj,238804
508,auau,130130
509,autr,103580
510,asoy,111638
511,auyb,26403
512,asju,136531
513,cnry,262144
514,atyh,6980
515,auts,169346
516,cpjy,262144
517,atxz,147515
518,aswc,71075
519,atds,197804
520,cpju,262144
521,atws,214702
522,croo,262144
523,cpou,240300
524,avjy,145814
525,cqyv,262144
526,auoi,125748
527,cqnh,262144
528,awdi,262144
529,cqnk,235570
530,cqdc,262144
531,crmb,262144
532,awcl,24468
533,covk,255224
534,cmvt,262144
535,cqkc,262144
536,avlt,189857
537,atfj,126434
538,cpgd,123195
539,coea,262144
540,cmww,262144
541,auza,0
542,covq,262144
543,avcc,216084
544,crjn,0
545,crqk,262144
546,crek,262144
547,cnki,262144
548,cqrx,262144
549,cmve,255737
550,coks,173097
551,asdk,133682
552,avaz,111086
553,cndj,73806
554,cojz,262144
555,avgb,176431
556,cpsm,248540
557,cqro,262144
558,avkv,159200
559,augb,262144
560,aszg,164004
561,aunk,194975
562,cqik,233101
563,auvy,129801
564,cnjb,262144
565,cnrr,262144
566,avox,194585
567,cpbg,97995
568,cpye,262144
569,crjl,0
570,atup,191367
571,cpim,262144
572,auns,42189
573,cpuz,0
574,cmzm,243723
575,asky,232208
576,atcz,200126
577,aszf,240528
578,cngf,0
579,avzp,230986
580,cpdf,262144
581,avnm,172411
582,bgla,262144
583,bhfg,0
584,bkoz,262144
585,bjju,262144
586,bkhp,132275
587,bgjq,0
588,bgqd,262144
589,biaw,262144
590,bjmx,262144
591,bjbc,262144
592,bjax,262144
593,bkub,262144
594,bibn,262144
595,bldl,262144
596,bhhl,17139
597,bgjx,262144
598,bhlt,262144
599,bgyp,123999
600,biqc,140210
601,bhqn,262144
602,bkuu,262144
603,bjta,262144
604,bkgm,262144
605,bguw,0
606,bghy,262144
607,bjti,262144
608,bhuq,262144
609,bgku,262144
610,bkym,262144
611,bjka,49934
612,bijp,262144
613,bhqh,262144
614,bjri,0
615,bjyv,128191
616,biab,259975
617,bgtj,262144
618,bldo,262144
619,bhzs,0
620,biap,262144
621,bguy,262144
622,bgje,262144
623,bheb,57702
624,bkaa,75513
625,bitg,0
626,bkhk,249348
627,bjed,262144
628,bjii,260424
629,bhbv,90740
630,bjsa,262144
631,bizu,262144
632,bijs,262144
633,bkqz,262144
634,bgdq,77956
635,bjxq,262144
636,bhig,262144
637,blci,120727
638,bkno,262144
639,birt,262144
640,bkjh,262144
641,bgso,262144
642,bkqt,262144
643,bldv,262144
644,bjmf,262144
645,bimd,25433
646,bgzi,262144
647,bjtz,262144
648,bgol,262144
649,bjfv,262144
650,bjsl,262144
651,bjkp,262144
652,bgii,262144
653,blgl,261760
654,bkel,262144
655,bgfo,262144
656,bgsr,262144
657,biyb,60156
658,bgfe,260580
659,bgwi,3295
660,bjcd,262144
661,bkeb,262144
662,bjch,262144
663,bkye,262144
664,bgid,262144
665,bjoc,262144
666,bjvw,262144
667,bgcn,39846
668,bkan,262144
669,bibv,262144
670,bizh,72660
671,bhyf,262144
672,bhha,262144
673,bklt,262144
674,bgte,39714
675,bhdo,262144
676,bkcx,261690
677,bkdx,0
678,bgrf,262144
679,bgqb,262041
680,bkaf,262144
681,bipe,246694
682,binl,262123
683,biqr,112643
684,bhcs,262144
685,bjjw,262144
686,bisj,262144
687,bikg,262144
688,blfr,262144
689,bknh,262144
690,bhiq,262144
691,bizf,262144
692,bukk,117012
693,btgj,246397
694,bsdv,1774
695,buqo,89919
696,bsob,98022
697,brst,88697
698,btsu,174769
699,btii,216046
700,buih,0
701,bulh,54480
702,buoi,37101
703,btal,262144
704,btgh,0
705,brvo,0
706,buzc,6620
707,btpm,194882
708,brqo,78838
709,bsak,0
710,buwi,0
711,bulz,69219
712,bsln,102246
713,buqh,0
714,btem,242682
715,brlf,55099
716,buyv,72714
717,brzu,0
718,bvdq,248619
719,budp,0
720,bruq,237065
721,bruw,163917
722,brqm,189292
723,bumf,55810
724,bugl,262144
725,buaq,1856
726,bsuq,44072
727,bsqw,199091
728,bttj,211063
729,bvbo,0
730,btgf,199847
731,brge,195567
732,bszu,67725
733,bsar,0
734,bsnt,32547
735,bryx,0
736,bual,14924
737,buuv,218400
738,bunu,0
739,btge,0
740,bsoz,38812
741,brtk,56895
742,btwo,204421
743,bsne,40313
744,brxv,219300
745,buik,199707
746,btoe,262144
747,bugb,212486
748,bssk,91251
749,bsci,0
750,btto,5526
751,btlq,0
752,brqd,175149
753,bsfy,221998
754,btow,260415
755,bryy,99754
756,btur,198780
757,btfq,154344
758,bthv,220223
759,bvbi,0
760,bswd,144027
761,brms,47731
762,btql,10206
763,bttw,202186
764,bsub,35494
765,bskp,137783
766,bskf,110053
767,bufb,41850
768,brnl,0
769,bsoo,0
770,btiq,154770
771,bttp,0
772,buqb,113609
773,butb,0
774,brpz,102598
775,brsv,55020
776,bxux,30488
777,bvil,243135
778,bwnr,113880
779,bxoq,0
780,bvkx,0
781,bwpy,216029
782,bxow,84872
783,bxod,262144
784,bwrd,261609
785,bvne,0
786,byit,11156
787,bwka,262144
788,bxwr,261556
789,byqp,179238
790,bvsz,0
791,bvfe,128378
792,bxpb,0
793,bwbl,16098
794,bxvp,0
795,bwya,130536
796,bylu,2930
797,bycf,260804
798,bvnr,54405
799,bwio,0
800,bxog,468
801,byqo,13529
802,byoj,0
803,bvwz,87499
804,bwou,12598
805,byon,257109
806,bxts,1211
807,bvqg,233955
808,bwey,157147
809,bylr,262144
810,bvkr,262144
811,bwjt,260749
812,bxio,3508
813,bxnl,257629
814,bwdd,0
815,bwoh,262144
816,bvje,4208
817,bxau,109912
818,bxki,256729
819,bwnp,252732
820,bwjy,262144
821,bvqz,284
822,byka,0
823,bwju,262144
824,bxdp,254133
825,bvkj,262097
826,bwos,148341
827,bxop,56940
828,bxyj,30504
829,bwcc,246254
830,bvvc,262144
831,bybv,262144
832,byfn,0
833,bwao,0
834,bvko,55353
835,bxxh,0
836,bwtj,262144
837,bvoa,21825
838,bxtw,128236
839,bvzx,152146
840,bvik,262144
841,bvss,65393
842,bwlz,0
843,bzbi,196224
844,cabc,175404
845,cdbo,185273
846,bzla,108782
847,cawg,174128
848,byzu,35629
849,ccla,217964
850,ceek,225353
851,ccdy,145184
852,cdcg,262144
853,bzeg,39281
854,cdta,257739
855,bzvq,148899
856,ccju,67498
857,byzn,212198
858,ccem,59395
859,ccge,44165
860,cbjn,64302
861,byvg,236859
862,cchm,96011
863,bzbg,84967
864,caus,258359
865,caqk,188670
866,cdyt,135078
867,cear,202058
868,cdkx,262144
869,ccjm,75265
870,caty,165633
871,cbnf,111101
872,caoi,215376
873,bzkl,54221
874,ccti,194502
875,cdgv,172945
876,bzlo,196063
877,byzj,75134
878,bzvs,96914
879,cdpq,259768
880,cczo,247996
881,cbsk,195496
882,cdrd,221671
883,bzqc,121975
884,ccdu,73275
885,cbkh,158795
886,cawy,229851
887,cdej,152663
888,byrw,15735
889,cbvd,258979
890,ccpc,198253
891,cdni,89404
892,cajg,262144
893,cbdq,52109
894,caol,88406
895,bzgr,182317
896,cdms,258430
897,ccvf,31681
898,cbzz,131196
899,cbfm,257290
900,bznh,262144
901,cbof,175171
902,bzdi,262144
903,cdia,145367
904,cbrw,12108
905,cawz,131792
906,cdwv,262144
907,byze,159572
908,byts,4547
909,bzgu,156051
910,cdgi,70713
911,bytb,68116
912,bzma,170201
913,cbqy,176847
914,cdyx,90702
915,cbdg,30466
916,byxz,70572
917,cdif,260157
918,ccpr,47796
919,byrn,75620
920,ccyh,172246
921,ccri,174530
922,casz,241124
923,bzzf,175830
924,cbrq,218252
925,bzhk,86686
926,bzts,221590
927,cctc,105994
928,bzel,262131
929,bzdl,229778
930,cdak,161824
931,cbix,183337
932,cbha,10240
933,cbjt,165742
934,bzsk,23528
935,cbvy,226670
936,cbko,245708
937,cclb,80162
938,cedl,34513
939,cdiz,88231
940,cagg,57752
941,cbpu,158771
942,cddr,104004
943,cdwq,5676
944,carn,179365
945,cbcp,262144
946,bzmo,215277
947,ccrc,117246
948,ccxe,262144
949,cknr,39345
950,cjcn,141349
951,clss,178300
952,ckrx,262144
953,ckqs,133745
954,cjla,96854
955,ckhd,0
956,cmkf,129629
957,ckli,44809
958,ckul,1910
959,clpc,18102
960,cive,0
961,cjog,55617
962,cipz,0
963,cjdd,149299
964,cjyc,60004
965,clmz,155821
966,cklk,157888
967,cjxp,164798
968,cmeb,8364
969,cjku,178035
970,cmbs,32178
971,cjik,63991
972,cmbv,0
973,cmdp,0
974,cmnq,91719
975,clok,0
976,cmmt,0
977,cjsj,8787
978,cjky,24682
979,cjge,157214
980,cixh,121523
981,ckhp,41776
982,citw,57016
983,cjqh,0
984,cmnv,99153
985,cjuz,92553
986,cjks,0
987,cikr,54381
988,cjlt,157116
989,cmmb,35516
990,ckwo,34689
991,ckxk,190678
992,ciza,24382
993,cith,39386
994,cktr,199134
995,cmfr,0
996,cmhl,0
997,ckpd,49581
998,cloy,103847
999,clgy,31920
1000,clnk,224599
1001,ckim,0
1002,cihk,3080
1003,clwa,2469
1004,ckks,8286
1005,cjkt,221259
1006,cjpa,259812
1007,cjsd,212437
1008,ckbu,71552
1009,clwk,262144
1010,cjht,31648
1011,cjhz,220400
1012,cjgr,258694
1013,cldk,72416
1014,cjoy,0
1015,clfo,191848
1016,clsf,21465
1017,cjtf,216637
1018,clhc,6426
1019,clpx,214614
1020,cjnb,0
1021,cmhm,259136
1022,clkz,30408
1023,ckgv,0
1024,ckvy,2350
1025,cmog,189210
1026,cjvz,0
1027,cimc,229994
1028,cldj,38777
1029,clpp,0
1030,cjtp,75644
1031,cjnv,260
1032,ckto,129625
1033,ckqu,40666
1034,cjni,22729
1035,clqu,0
1036,cint,163421
1037,cjqw,41188
1038,cklv,0
1039,cmth,262144
1040,cmpz,22997
1041,cmqx,259131
1042,cmpx,59897
1043,cmrw,167837
1044,cmqj,262144
1045,dbel,149377
1046,dbqm,17885
1047,dfay,262144
1048,ddop,262144
1049,dews,18886
1050,dazo,185694
1051,dbgp,246205
1052,dcgg,162377
1053,ddsi,262144
1054,dczx,258028
1055,dczs,43484
1056,dfhn,262144
1057,dcgn,262144
1058,dfvt,262144
1059,dbrr,19960
1060,dbam,262144
1061,dbuo,116806
1062,dblz,262144
1063,dcpi,250222
1064,dbzs,193139
1065,dfht,262144
1066,ddvt,137988
1067,deuv,122287
1068,dbjr,171279
1069,darb,252015
1070,ddwg,262144
1071,dcbp,262144
1072,dbdr,140199
1073,dfol,262144
1074,ddqm,203242
1075,dcks,262144
1076,dbyx,262144
1077,ddtj,262144
1078,dekj,3916
1079,dces,14028
1080,dbjm,262144
1081,dfwk,247445
1082,dcdh,176656
1083,dcfx,262144
1084,dbjy,194310
1085,datk,162459
1086,dbpw,185119
1087,demw,92808
1088,dcxm,40953
1089,dewl,8326
1090,ddgk,262144
1091,ddoe,115011
1092,dboe,26263
1093,ddua,253524
1094,dczq,262144
1095,dclc,196006
1096,dfgi,203093
1097,dalo,261944
1098,deiz,262144
1099,dbrt,262015
1100,dfso,165525
1101,dfas,262144
1102,dcty,199190
1103,deym,262144
1104,dbih,172219
1105,dfdx,211867
1106,dfxa,194615
1107,ddrk,262144
1108,dcmk,96152
1109,dbmi,262144
1110,ddwt,259146
1111,dbga,6030
1112,ddjf,262144
1113,dduo,82641
1114,ddre,152901
1115,dasg,110454
1116,dgcn,128567
1117,detm,262144
1118,dapl,262144
1119,dbiq,262144
1120,dcyk,262144
1121,daoa,260891
1122,dbkf,140858
1123,ddbo,262144
1124,deso,262144
1125,ddbr,262144
1126,dfll,4808
1127,dare,118332
1128,ddtf,262144
1129,defz,262144
1130,dajf,262144
1131,deoo,262144
1132,dchn,262144
1133,dczb,1625
1134,dccx,262144
1135,dbrq,258865
1136,deys,262144
1137,dbjc,186062
1138,dbph,36152
1139,derr,137591
1140,desa,155140
1141,dbig,127265
1142,dbgc,261742
1143,denk,0
1144,dcoo,262144
1145,dcmm,0
1146,dctq,262144
1147,dbof,262144
1148,ddpj,0
1149,dcuw,262144
1150,dcmg,262144
1151,dfxn,93889
1152,deyz,262144
1153,dbsr,20757
1154,dcyz,213962
1155,ohhi,189828
1156,dkpa,259872
1157,sxjx,262144
1158,dglt,189832
1159,djrd,221168
1160,dkdp,262144
1161,szpj,123673
1162,dlot,261147
1163,sylq,262144
1164,tbew,262144
1165,sxjl,249834
1166,djjd,262144
1167,tagi,0
1168,djaq,0
1169,sxde,262144
1170,szwi,24317
1171,dkjw,193586
1172,divr,261227
1173,dgxy,126731
1174,dghr,254806
1175,sxpl,22004
1176,digu,197893
1177,dhuf,262144
1178,tbbf,262144
1179,tauw,134952
1180,dkbh,262144
1181,dihf,262144
1182,divp,262144
1183,sxja,222755
1184,szrg,80127
1185,djuc,167272
1186,sxqi,35046
1187,dimt,250276
1188,sxqo,207697
1189,sziy,52111
1190,dlzg,262144
1191,tarv,262144
1192,dhhu,81035
1193,dlai,262144
1194,dlun,259957
1195,tazv,12458
1196,dhrk,262144
1197,szrq,95872
1198,tbjs,0
1199,dhtq,262144
1200,tazf,73913
1201,dizu,262144
1202,djmy,262144
1203,dgqu,262144
1204,diun,262144
1205,djmr,262144
1206,dgjo,262144
1207,swwj,259457
1208,divg,262144
1209,tanl,144949
1210,tajn,262144
1211,tbiq,59565
1212,dgfg,262144
1213,sylo,256807
1214,dkdb,262144
1215,syov,262144
1216,dijw,262144
1217,tapf,262144
1218,szto,0
1219,dkdo,262144
1220,swwq,59989
1221,dgri,226583
1222,dgxs,262144
1223,ohkq,262144
1224,djxb,165562
1225,dite,262144
1226,djpf,262144
1227,dksz,262144
1228,taix,262144
1229,tatu,0
1230,dkak,238424
1231,syek,231366
1232,tbkx,254857
1233,szhf,193139
1234,dheq,262144
1235,szvl,262144
1236,dlxg,257166
1237,dlhx,262144
1238,syhr,39527
1239,syms,255962
1240,dkvv,242241
1241,diho,262144
1242,dluh,261653
1243,dgjn,262144
1244,sxki,216748
1245,dhdm,242639
1246,dguo,262144
1247,talk,256174
1248,szhp,215725
1249,diha,262144
1250,dlxb,195173
1251,dlhd,262144
1252,sxpw,0
1253,diza,262144
1254,dlhv,262144
1255,dhog,76718
1256,syhx,260932
1257,tbdp,0
1258,sxbd,262130
1259,dlkj,128365
1260,dkxa,262144
1261,djur,262144
1262,dipx,262144
1263,sxll,220026
1264,dgrk,216285
1265,sxdi,0
1266,dllr,262144
1267,dgry,262144
1268,syjq,244489
1269,djls,262144
1270,diwa,262144
1271,dkgt,262144
1272,sxcx,262144
1273,disw,262144
1274,djnl,262144
1275,dgqj,92994
1276,djyi,248071
1277,dgmm,262144
1278,sxap,79845
1279,dirg,214309
1280,djnr,244836
1281,sytv,262144
1282,diqz,262144
1283,dgwu,22526
1284,dhlt,262144
1285,syrw,261305
1286,diqx,262144
1287,tbcl,233828
1288,szak,262144
1289,dkim,262144
1290,talq,251687
1291,djfy,262144
1292,szyg,71233
1293,dlhh,262144
1294,szyw,255836
1295,szty,250287
1296,taza,262144
1297,dlcx,254879
1298,sxwf,262144
1299,dlmw,262144
1300,szwo,117327
1301,dkos,262144
1302,dhnh,151500
1303,syle,261861
1304,sxin,7323
1305,dlob,262144
1306,djym,262144
1307,sxwy,223190
1308,dkdg,262144
1309,taus,40319
1310,tbeb,0
1311,tarw,262144
1312,ohnl,29826
1313,tail,256213
1314,dlly,262144
1315,sxpc,151740
1316,dgfc,262144
1317,dkcl,262144
1318,dlvr,262144
1319,sxoy,258080
1320,dkdy,262144
1321,szfu,5779
1322,tahf,262104
1323,dkkg,262144
1324,ditt,262144
1325,dhbr,262144
1326,djam,262144
1327,szvk,111943
1328,djub,262144
1329,ohka,190720
1330,sxad,43903
1331,dkpi,262144
1332,syer,0
1333,szlh,0
1334,tauj,67005
1335,dipv,262144
1336,syou,262144
1337,djeg,262144
1338,szhn,0
1339,dlou,262144
1340,dgoj,262144
1341,dhif,262144
1342,dhbb,262144
1343,dlxw,262144
1344,dkye,262144
1345,syhq,243940
1346,dkox,262144
1347,dpyo,16344
1348,dmpv,81057
1349,kgpz,211122
1350,dotk,113725
1351,dobn,262144
1352,kgpr,5280
1353,dntk,260274
1354,dmoz,141189
1355,dpfl,30774
1356,dpfb,0
1357,khht,168139
1358,dmqz,77756
1359,dolg,30232
1360,dmkl,176902
1361,kgvd,128404
1362,dpif,258182
1363,dobv,261736
1364,dpfr,12450
1365,khng,0
1366,dpkb,20850
1367,dplj,262144
1368,dqem,257623
1369,doav,262108
1370,dnmq,15524
1371,kgqy,0
1372,dphw,257466
1373,doaz,0
1374,dort,0
1375,dnau,99132
1376,dovy,250844
1377,dpig,27648
1378,dogp,262144
1379,dmvg,262144
1380,khbs,244156
1381,dpnf,261465
1382,kgzu,0
1383,dmrb,0
1384,kgxy,19527
1385,dofn,64064
1386,dmgm,15591
1387,dpxh,7261
1388,dple,262144
1389,kgxp,202966
1390,domk,47606
1391,dnve,74709
1392,doth,11762
1393,dneh,124582
1394,khmy,244562
1395,dnka,254187
1396,dnzo,22628
1397,doxe,212129
1398,kgrm,180113
1399,doii,188840
1400,dohh,16725
1401,dnan,4769
1402,dpxv,20380
1403,dnwj,105396
1404,dnrb,132157
1405,kgvr,179042
1406,dniy,0
1407,dncd,254756
1408,khcn,12069
1409,dmmi,262144
1410,dpek,253257
1411,dnjv,0
1412,dprr,262125
1413,dovx,68419
1414,dmwp,262144
1415,dpni,165211
1416,khkb,178724
1417,dovb,262144
1418,dmeb,0
1419,dnmt,220152
1420,dpyj,250340
1421,dopg,22413
1422,dqes,135542
1423,dnes,533
1424,khjc,135822
1425,dmsx,248812
1426,dpmt,262144
1427,dqgk,9121
1428,dnde,200360
1429,dmln,0
1430,dplm,0
1431,kgpt,137734
1432,dmig,0
1433,dmxw,1617
1434,kgsm,158769
1435,dmfl,262028
1436,dnct,0
1437,dqdz,57563
1438,dqal,0
1439,doux,47547
1440,dqaf,0
1441,dmll,0
1442,dnyc,0
1443,khfo,256344
1444,dqba,262141
1445,dmcd,55713
1446,khcp,120823
1447,dqhk,64995
1448,dods,261428
1449,dphd,80449
1450,dnza,0
1451,dnlv,261775
1452,dpmj,0
1453,dmzy,243408
1454,dnjs,243761
1455,khgv,262144
1456,dqil,447
1457,khnx,0
1458,dmwf,256862
1459,dmuh,0
1460,dqfw,151188
1461,dqdb,2420
1462,dolf,0
1463,dpdt,0
1464,duzn,78388
1465,dxwi,17498
1466,dwak,1512
1467,dyee,17690
1468,dxco,25736
1469,dyyh,11874
1470,duak,95813
1471,duem,6200
1472,dubj,6829
1473,dtxc,13852
1474,dwbh,3157
1475,dxci,4472
1476,dvrt,5501
1477,dvqo,9392
